"id","Model","est_beta0","est_beta1","est_beta2","Design","Exposure_Highest_Error","Covar","ErrorVar","Truth"
36,"X5",4.08245445201956,2.42577514356447,0.21290932905315,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
37,"X1",0.000742030854703149,0.527116700698038,0.154797354576374,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
37,"X2",0.949717281898761,0.980841926604469,0.303413585310971,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
37,"X3",2.12616982502837,1.53993472550381,0.207107719869775,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
37,"X4",2.81729837443328,1.90616280807293,0.48935540955587,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
37,"X5",4.14309661601416,2.71787488519911,0.275396781769917,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
38,"X1",-0.0500188530151858,0.497781564286577,0.195015918688951,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
38,"X2",0.92166701843603,1.14669937521774,0.130563662761955,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
38,"X3",1.99806667770706,1.34707731540778,0.462974147275634,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
38,"X4",2.90615348411109,1.82525123615517,0.713320822787335,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
38,"X5",4.00798209685164,2.68984252884116,0.348337373565636,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
39,"X1",-0.0337010535709505,0.511785960989922,-0.00278902777095986,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
39,"X2",0.983457332733645,1.09475512458452,-0.0527897715453424,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
39,"X3",2.03394944935117,1.47929259613915,0.134342986591025,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
39,"X4",2.90456980587374,1.97257676930055,0.190536366903014,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
39,"X5",3.99720454816809,2.40694086103858,0.390056641862418,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
40,"X1",0.035964501277394,0.469439427304106,0.173134485030991,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
40,"X2",1.00902249312195,0.982706880056107,0.148862374103774,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
40,"X3",2.09925965160717,1.48177453972841,0.263167976126726,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
40,"X4",3.02936082834813,2.08256151418239,0.0608661312707354,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
40,"X5",3.78244549060249,2.34382592504057,0.755431490070925,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
41,"X1",-0.0284806425942845,0.491033824727687,0.201190541415345,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
41,"X2",1.05222865348517,1.1113440417476,0.293693287079704,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
41,"X3",2.08134329708825,1.61760526634918,-0.0517489238389643,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
41,"X4",2.9711870634101,1.7852252077272,0.650566315585932,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
41,"X5",4.18282132442047,2.51147646537614,0.381583022512128,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
42,"X1",-0.0713281768618747,0.646710648033454,-0.137557122166546,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
42,"X2",1.06389940909831,0.991773522738158,0.0964100700274049,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
42,"X3",1.97893605166357,1.47159259850514,-0.0458545012527801,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
42,"X4",3.00120549643038,2.29621297824855,0.269632210014341,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
42,"X5",3.99713644345138,2.6513059648859,0.375563859875178,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
43,"X1",-0.0161571295970805,0.487499708702159,0.0225544131411771,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
43,"X2",1.08313320768011,1.01140767044342,0.216542685117794,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
43,"X3",2.03034993145482,1.46781289579759,0.657642707628092,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
43,"X4",3.12998011929854,2.02387454037645,0.371353918742717,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
43,"X5",3.78418337456025,2.54923520821813,0.635475321019285,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
44,"X1",0.0389390527453934,0.462780370208403,0.0555618410358358,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
44,"X2",1.09496455910324,1.01911736935589,0.216549775744386,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
44,"X3",2.22943024993093,1.42077613902214,0.275983451291091,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
44,"X4",2.98085063749381,1.99268174107351,0.670032886136935,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
