"id","Model","est_beta0","est_beta1","est_beta2","Design","Covar","ErrorVar","Truth"
40,"X2",1.00746421683496,1.05969116157774,0.0715965473529774,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
40,"X3",1.88112449507221,1.52361890177085,0.404114034883746,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
40,"X4",2.93236298302421,1.96016491888187,0.572314919024617,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
40,"X5",4.13053419481845,2.38356246109845,0.580293873758905,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
41,"X1",-0.0411827089795664,0.469050323202509,0.128373057878068,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
41,"X2",1.04329308471462,0.976679710946855,0.131019321100814,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
41,"X3",1.91272138949905,1.43610451126327,0.480601404929507,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
41,"X4",3.02509733858108,1.85300683503568,0.361301127455971,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
41,"X5",4.17398827393652,2.55602155096191,0.141553518997952,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
42,"X1",-0.039857877012725,0.549182600511904,0.055932467328756,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
42,"X2",0.986333329187052,1.02498502798758,0.117611219414202,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
42,"X3",2.06831594880769,1.52124703773384,0.160862119760073,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
42,"X4",2.96327900804351,2.2112126672337,0.198517554439934,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
42,"X5",3.91018757368942,2.53794325189548,0.289511743564714,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
43,"X1",0.0134655245174568,0.515420622976772,0.0253187753747186,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
43,"X2",1.04193106521253,0.978130108806631,0.309387512281089,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
43,"X3",2.04509839387897,1.50012628803156,0.333111051174519,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
43,"X4",2.91994923904362,1.98842176164471,0.484736669593952,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
43,"X5",3.88478953099453,2.52013273598236,0.709368772266875,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
44,"X1",-0.0197606066175528,0.549567979279295,-0.031889054286704,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
44,"X2",1.06020085442031,0.996971698286834,0.280081029394615,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
44,"X3",2.01055370368512,1.5236171744455,0.127294802009659,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
44,"X4",3.01874101497125,2.0467466279994,0.273157612716606,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
44,"X5",4.19600000637746,2.48862259894847,0.470521146543199,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
45,"X1",0.032887655334781,0.581633708989505,-0.0447740492334221,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
45,"X2",1.02855916926461,1.06143963307045,0.028697890069456,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
45,"X3",1.91595403311271,1.44125239316709,0.492244610348368,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
45,"X4",2.90981342149889,1.9490880207696,0.503147972132423,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
